total_syn,req_size,req_type,topo_size,increment_type
0.9345555,2,simple,mid,FALSE
0.8814067,2,simple,mid,TRUE
1.0568867,2,order,mid,FALSE
1.0255928,2,order,mid,TRUE
1.8859243,4,simple,mid,FALSE
1.8620857,4,simple,mid,TRUE
2.0999382,4,order,mid,FALSE
2.0681513,4,order,mid,TRUE
3.6484526,8,simple,mid,FALSE
3.6076621,8,simple,mid,TRUE
7.1204932,8,order,mid,FALSE
6.1307891,8,order,mid,TRUE
7.3590272,16,simple,mid,FALSE
7.2713998,16,simple,mid,TRUE
10.0031407,16,order,mid,FALSE
8.0911959,16,order,mid,TRUE
0.8967893,2,simple,mid,FALSE
0.8781904,2,simple,mid,TRUE
0.9878488,2,order,mid,FALSE
0.9513653,2,order,mid,TRUE
1.8731184,4,simple,mid,FALSE
1.8512068,4,simple,mid,TRUE
1.8932099,4,order,mid,FALSE
1.9385081,4,order,mid,TRUE
3.4829961,8,simple,mid,FALSE
3.4740531,8,simple,mid,TRUE
4.7801951,8,order,mid,FALSE
5.7502297,8,order,mid,TRUE
6.9434357,16,simple,mid,FALSE
6.8742748,16,simple,mid,TRUE
9.7126576,16,order,mid,FALSE
9.6261762,16,order,mid,TRUE
0.9282021,2,simple,mid,FALSE
0.9161732,2,simple,mid,TRUE
0.9010893,2,order,mid,FALSE
0.8739054,2,order,mid,TRUE
1.8192409,4,simple,mid,FALSE
1.7925217,4,simple,mid,TRUE
1.8901524,4,order,mid,FALSE
1.898222,4,order,mid,TRUE
3.5754257,8,simple,mid,FALSE
3.568521,8,simple,mid,TRUE
3.665576,8,order,mid,FALSE
3.6662163,8,order,mid,TRUE
6.8995339,16,simple,mid,FALSE
6.9122177,16,simple,mid,TRUE
7.3333908,16,order,mid,FALSE
7.2757324,16,order,mid,TRUE
0.919861,2,simple,mid,FALSE
0.8515279,2,simple,mid,TRUE
1.504815,2,order,mid,FALSE
0.964771,2,order,mid,TRUE
1.7271298,4,simple,mid,FALSE
1.6943637,4,simple,mid,TRUE
2.5930911,4,order,mid,FALSE
1.9235495,4,order,mid,TRUE
3.5517432,8,simple,mid,FALSE
3.4746706,8,simple,mid,TRUE
4.7608627,8,order,mid,FALSE
4.7253515,8,order,mid,TRUE
7.0358262,16,simple,mid,FALSE
6.9633781,16,simple,mid,TRUE
9.5757862,16,order,mid,FALSE
9.0707572,16,order,mid,TRUE
0.8990241,2,simple,mid,FALSE
